,hosp,hosp,hosp,rea,rea,rea,rad,rad,rad,dc,dc,dc
sexe,0,1,2,0,1,2,0,1,2,0,1,2
jour,,,,,,,,,,,,
2020-03-18,2972,1685,1248,771,525,239,816,432,379,218,121,96
2020-03-19,4073,2256,1632,1002,689,284,1180,580,562,327,179,136
2020-03-20,5226,2912,2134,1297,905,362,1587,777,764,450,250,190
2020-03-21,5900,3298,2401,1453,1018,401,1811,881,888,525,297,219
2020-03-22,6954,3906,2815,1674,1176,461,2117,1031,1040,632,356,263
2020-03-23,8673,4882,3532,2080,1465,569,2567,1270,1247,860,497,350
2020-03-24,10163,5843,4149,2503,1773,694,3281,1609,1624,1100,661,425
2020-03-25,12072,7064,4856,2935,2127,785,4085,2000,2028,1388,818,557
2020-03-26,13879,8152,5570,3351,2437,888,4947,2424,2456,1696,1002,681
2020-03-27,15701,9288,6248,3758,2735,991,5698,2820,2806,1995,1175,809
2020-03-28,17580,10400,6995,4236,3105,1097,6624,3289,3251,2314,1374,927
2020-03-29,19311,11470,7643,4592,3397,1162,7131,3528,3516,2606,1561,1032
2020-03-30,20946,12457,8279,5056,3756,1268,7923,3940,3885,3024,1818,1191
2020-03-31,22672,13459,8984,5496,4069,1391,9443,4734,4599,3523,2143,1361
2020-04-01,24543,14568,9738,5940,4395,1506,10934,5539,5268,4032,2472,1537
2020-04-02,26131,15477,10391,6305,4646,1610,12427,6327,5961,4503,2767,1710
2020-04-03,27302,16104,10922,6556,4849,1651,14007,7177,6681,5091,3105,1954
2020-04-04,28003,16360,11353,6723,4952,1711,15437,8020,7257,5532,3370,2125
2020-04-05,28747,16715,11713,6859,5038,1757,16182,8425,7597,5889,3594,2256
2020-04-06,29569,17109,12135,6948,5108,1776,17249,9022,8064,6494,3949,2496
2020-04-07,29871,17189,12370,7004,5142,1797,19336,10157,8992,7091,4302,2734
2020-04-08,30217,17247,12657,7019,5139,1815,21253,11212,9841,7632,4624,2947
2020-04-09,30608,17301,12988,6937,5080,1794,23205,12276,10716,8044,4882,3099
2020-04-10,31108,17374,13429,6875,5014,1796,24931,13277,11428,8598,5208,3319
2020-04-11,31159,17263,13587,6752,4927,1758,26390,14111,12038,8943,5402,3469
2020-04-12,31665,17406,13938,6714,4902,1744,27185,14556,12376,9253,5588,3592
2020-04-13,31952,17487,14133,6690,4877,1747,27717,14885,12575,9588,5786,3725
2020-04-14,32131,17460,14351,6599,4791,1744,28804,15490,13046,10129,6092,3953
2020-04-15,31623,17079,14244,6331,4584,1682,30952,16639,14028,10643,6364,4194
2020-04-16,31172,16775,14098,6139,4452,1622,32806,17649,14868,11053,6585,4377
2020-04-17,31061,16603,14162,5922,4302,1557,34414,18514,15591,11470,6827,4546
2020-04-18,30515,16210,14016,5733,4174,1498,35977,19347,16305,11834,7028,4711
2020-04-19,30486,16160,14040,5644,4115,1470,36572,19656,16582,12061,7153,4811
2020-04-20,30462,16068,14095,5584,4060,1463,37403,20070,16992,12505,7407,4998
