Code article,LIBELLE ARTICLE,FAMILLE ARTICLE,CONDITION,PU HT
1010,HUILE ARACHIDE 25 L,HUILES,BIDON,"60,71"
1011,HUILE ARACHIDE 5 L,HUILES,BIDON,"14,33"
1012,HUILE ARACHIDE 1 L,HUILES,BOUTE,"2,87"
1014,HUILE MEZZO 1 L (50%OLIVE50%TOURNESOL),HUILES,BOUTE,"2,67"
1015,HUILE COLZA 5 L,HUILES,BIDON,"7,57"
1016,HUILE COLZA 1 L,HUILES,BOUTE,"1,71"
1020,HUILE TOURNESOL 25 L,HUILES,BIDON,"37,14"
1021,HUILE TOURNESOL 5 L,HUILES,BIDON,"8,00"
1022,HUILE TOURNESOL 1 L,HUILES,BOUTE,"1,60"
1031,HUILE OLIVE 5 L,HUILES,BIDON,"24,00"
1032,HUILE OLIVE 1 L,HUILES,BOUTE,"4,83"
1033,HUILE OLIVE VIERGE EXTRA BENOIT BV 1L,HUILES,BOUTE,"6,80"
1034,HUILE OLIVE EXTRA VIERGE 250ML ITALIANO,HUILES,FLACO,"3,98"
1035,HUILE OLIVE SPRAY 25CL - CODEFA,HUILES,SPRAY,"4,45"
1036,HUILE OLIVE VIERGE EXTRA JEAN ROMEO 75CL,HUILES,BOUTE,"4,43"
1039,HUILE PIMENTEE 50CL - LESIEUR,HUILES,BOUTE,"6,43"
1040,HUILE FRITURE CUISSON 25 L,HUILES,BIDON,"45,77"
1041,HUILE FRITURE CUISSON 5 L,HUILES,BIDON,"9,15"
1042,HUILE OLIVE 25 CL VERRE,HUILES,BOUTE,"5,70"
1047,HUILE OLIVE BV 50CL,HUILES,BOUTE,"4,45"
1054,HUILE OLIVE TRUFFE 250ML,HUILES,BOUTE,"12,15"
1055,HUILE TRUFFE BLANCHE 250 ML EMPORIO,HUILES,BOUTE,"12,00"
1070,HUILE PEPIN DE RAISIN 5L,HUILES,BIDON,"17,97"
1072,HUILE PEPIN DE RAISIN 1L,HUILES,BOUTE,"3,91"
1080,BOMBE A GRAISSE 600 ML,HUILES,SPRAY,"4,93"
1110,HUILE RISSO ELITE BIDON 10 L,HUILES,BIDON,"28,45"
1130,HUILE D'OLIVE AU PIMENT 25CL VR-CODEFA,HUILES,BOUTE,"2,99"
1230,HUILE PIMENTEE X 200,HUILES,CARTO,"7,89"
1232,HUILE PIMENTEE GYMA X 1000,HUILES,CARTO,"27,15"
1300,HUILE DE NOIX 25 CL,HUILES,BOUTE,"5,37"
1305,HUILE DE NOISETTE 25 CL,HUILES,BOUTE,"5,06"
1400,HUILE DE SESAME 600 ML,HUILES,BOUTE,"10,92"
2015,CANTAL RAPE TRADILAIT 2KG,FROMAGES,KG,"6,94"
2020,CANTAL RAPE TRAD-SAC 2.5 KG,FROMAGES,SAC,"19,55"
2025,CANTABRIK RAPE KAASBRIK - SAC 2KG,FROMAGES,SAC,"11,29"
